X,Y,Name,Acronym,Street_Address,City,Province,Postal_Code,F_LATITUDE,F_LONGITUDE,F_Canada_Code,F_Canada_Name,F_Province_Code,F_Province_Name,F_Census_Division_Code,F_Census_Division_Name,F_Census_Subdivision_Code,F_Census_Subdivision_Name,F_Federal_Electoral_District__2,F_Federal_Electoral_District__3,F_Dissemination_Area_Code,F_Dissemination_Area_Name,F_Aggregate_Dissemination_Area_,F_Aggregate_Dissemination_Area1,F_Census_Metropolitan_Area_Code,F_Census_Metropolitan_Area_Name,F_Census_Tract_Code,F_Census_Tract_Name,F_Forward_Sortation_Area__Q4__2,F_Forward_Sortation_Area__Q4__3,F_Precision,ObjectId
-75.661077,45.378183,Alta Vista,AL,2516 Alta Vista,Ottawa,ON,K1V 7T1,45.378183,-75.661077,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35077,"Ottawa South, ON",35061701,"35061701, ON",35060044,"35060044, ON",505,"Ottawa - Gatineau, ON/QC",5050005,"Ottawa - Gatineau (0005.00), ON",K1V,"K1V (Ottawa, ON)",Street,1
-75.89578,45.319816,Beaverbrook,BE,2500 Campeau,Ottawa,ON,K2K 2W3,45.319816,-75.89578,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35041,"Kanata--Carleton, ON",35060739,"35060739, ON",35060084,"35060084, ON",505,"Ottawa - Gatineau, ON/QC",5050160.02,"Ottawa - Gatineau (0160.02), ON",K2K,"K2K (Ottawa, ON)",Street,2
-75.564075,45.430877,Blackburn Hamlet,BH,199 Glen Park,Ottawa,ON,K1B 5B8,45.430877,-75.564075,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35076,"Orléans, ON",35061235,"35061235, ON",35060019,"35060019, ON",505,"Ottawa - Gatineau, ON/QC",5050125.02,"Ottawa - Gatineau (0125.02), ON",K1B,"K1B (Ottawa, ON)",Street,3
-75.772231,45.372926,Carlingwood,CA,281 Woodroffe,Ottawa,ON,K2A 3W4,45.372926,-75.772231,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35079,"Ottawa West--Nepean, ON",35061279,"35061279, ON",35060142,"35060142, ON",505,"Ottawa - Gatineau, ON/QC",5050032.01,"Ottawa - Gatineau (0032.01), ON",K2A,"K2A (Ottawa, ON)",Street,4
-76.04244,45.34882,Carp,CP,3911 Carp,Ottawa,ON,K0A 1L0,45.34882,-76.04244,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35041,"Kanata--Carleton, ON",35061381,"35061381, ON",35060128,"35060128, ON",505,"Ottawa - Gatineau, ON/QC",5050300,"Ottawa - Gatineau (0300.00), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,5
-75.826147,45.321094,Centennial,CE,3870 Richmond Rd,Ottawa,ON,K2H 5C4,45.321094,-75.826147,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35064,"Nepean, ON",35060607,"35060607, ON",35060083,"35060083, ON",505,"Ottawa - Gatineau, ON/QC",5050136.01,"Ottawa - Gatineau (0136.01), ON",K2H,"K2H (Ottawa, ON)",Street,6
-76.092682,45.499152,Constance Bay,CB,262 Len Purcell,Ottawa,ON,K0A 3M0,45.499152,-76.092682,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35041,"Kanata--Carleton, ON",35061371,"35061371, ON",35060028,"35060028, ON",505,"Ottawa - Gatineau, ON/QC",5050302,"Ottawa - Gatineau (0302.00), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,7
-75.493387,45.47051,Cumberland,CU,1599 Tenth Line,Ottawa,ON,K1E 3E8,45.47051,-75.493387,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35076,"Orléans, ON",35060014,"35060014, ON",35060008,"35060008, ON",505,"Ottawa - Gatineau, ON/QC",5050170.09,"Ottawa - Gatineau (0170.09), ON",K4A,"K4A (Ottawa, ON)",Street,8
-75.623072,45.398954,Elmvale Acres,EA,1910 St-Laurent,Ottawa,ON,K1G 1A4,45.398954,-75.623072,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35077,"Ottawa South, ON",35060918,"35060918, ON",35060152,"35060152, ON",505,"Ottawa - Gatineau, ON/QC",5050009,"Ottawa - Gatineau (0009.00), ON",K1G,"K1G (Ottawa, ON)",Street,9
-75.735671,45.354771,Emerald Plaza,EP,1547 Merivale,Ottawa,ON,K2G 4V3,45.354771,-75.735671,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35079,"Ottawa West--Nepean, ON",35061104,"35061104, ON",35060063,"35060063, ON",505,"Ottawa - Gatineau, ON/QC",5050132,"Ottawa - Gatineau (0132.00), ON",K2E,"K2E (Ottawa, ON)",Street,10
-76.21571,45.47236,Fitzroy Harbour,FH,100 Clifford Campbell,Ottawa,ON,K0A 1X0,45.47236,-76.21571,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35041,"Kanata--Carleton, ON",35061160,"35061160, ON",35060028,"35060028, ON",505,"Ottawa - Gatineau, ON/QC",5050301,"Ottawa - Gatineau (0301.00), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,11
-75.556703,45.262251,Greely,GR,1448 Meadow Drive,Ottawa,ON,K4P 1B1,45.262251,-75.556703,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061448,"35061448, ON",35060124,"35060124, ON",505,"Ottawa - Gatineau, ON/QC",5050190.02,"Ottawa - Gatineau (0190.02), ON",K4P,"K4P (Greely, ON)",Street,12
-75.634675,45.363053,Greenboro,GB,363 Lorry Greenberg,Ottawa,ON,K1T 3P8,45.363053,-75.634675,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35077,"Ottawa South, ON",35060865,"35060865, ON",35060151,"35060151, ON",505,"Ottawa - Gatineau, ON/QC",5050001.06,"Ottawa - Gatineau (0001.06), ON",K1T,"K1T (Ottawa, ON)",Street,13
-75.886505,45.294924,Hazeldean,HA,50 Castlefrank,Ottawa,ON,K2L 2N5,45.294924,-75.886505,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35041,"Kanata--Carleton, ON",35060708,"35060708, ON",35060096,"35060096, ON",505,"Ottawa - Gatineau, ON/QC",5050162.01,"Ottawa - Gatineau (0162.01), ON",K2L,"K2L (Ottawa, ON)",Street,14
-75.695282,45.420364,Main,MA,120 Metcalfe,Ottawa,ON,K1P 5M2,45.420364,-75.695282,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35075,"Ottawa Centre, ON",35060338,"35060338, ON",35060032,"35060032, ON",505,"Ottawa - Gatineau, ON/QC",5050048,"Ottawa - Gatineau (0048.00), ON",K1P,"K1P (Ottawa, ON)",Street,15
-75.68112,45.22818,Manotick,MK,5499 South River,Ottawa,ON,K4M 1J3,45.22818,-75.68112,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35060834,"35060834, ON",35060125,"35060125, ON",505,"Ottawa - Gatineau, ON/QC",5050201,"Ottawa - Gatineau (0201.00), ON",K4M,"K4M (Manotick, ON)",Unique ePCCF,16
-75.469389,45.229341,Metcalfe Village,ME,2782 8th Line,Ottawa,ON,K0A 2P0,45.229341,-75.469389,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061460,"35061460, ON",35060123,"35060123, ON",505,"Ottawa - Gatineau, ON/QC",5050190.01,"Ottawa - Gatineau (0190.01), ON",K0A,"K0A (Almonte, ON)",Street,17
-75.938841,45.165161,Munster,MU,7749 Bleeks,Ottawa,ON,K0A 3P0,45.165161,-75.938841,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061138,"35061138, ON",35060126,"35060126, ON",505,"Ottawa - Gatineau, ON/QC",5050151.09,"Ottawa - Gatineau (0151.09), ON",K0A,"K0A (Almonte, ON)",Street,18
-75.763518,45.343315,Nepean Centrepointe,NC,101 Centrepointe,Ottawa,ON,K2G 5K7,45.343315,-75.763518,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35079,"Ottawa West--Nepean, ON",35060488,"35060488, ON",35060074,"35060074, ON",505,"Ottawa - Gatineau, ON/QC",5050137.05,"Ottawa - Gatineau (0137.05), ON",K2G,"K2G (Ottawa, ON)",Street,19
-75.601253,45.438355,North Gloucester,NG,2036 Ogilvie,Ottawa,ON,K1J 7N8,45.438355,-75.601253,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35061338,"35061338, ON",35060017,"35060017, ON",505,"Ottawa - Gatineau, ON/QC",5050121.02,"Ottawa - Gatineau (0121.02), ON",K1J,"K1J (Ottawa, ON)",Street,20
-75.71671,45.13169,North Gower,GO,6579 Fourth Line,Ottawa,ON,K0A 2T0,45.13169,-75.71671,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061129,"35061129, ON",35060102,"35060102, ON",505,"Ottawa - Gatineau, ON/QC",5050200.02,"Ottawa - Gatineau (0200.02), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,21
-75.525845,45.45533,Orleans,OR,1705 Orléans,Ottawa,ON,K1C 4W2,45.45533,-75.525845,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35076,"Orléans, ON",35060073,"35060073, ON",35060107,"35060107, ON",505,"Ottawa - Gatineau, ON/QC",5050125.08,"Ottawa - Gatineau (0125.08), ON",K1C,"K1C (Ottawa, ON)",Street,22
-75.59368,45.15352,Osgoode,OS,5630 Osgoode Main,Ottawa,ON,K0A 2W0,45.15352,-75.59368,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061473,"35061473, ON",35060123,"35060123, ON",505,"Ottawa - Gatineau, ON/QC",5050191.02,"Ottawa - Gatineau (0191.02), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,23
-75.83365,45.19916,Richmond,RM,6240 Perth,Ottawa,ON,K0A 2Z0,45.19916,-75.83365,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061148,"35061148, ON",35060127,"35060127, ON",505,"Ottawa - Gatineau, ON/QC",5050151.03,"Ottawa - Gatineau (0151.03), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,24
-75.683066,45.429883,Rideau,RI,377 Rideau,Ottawa,ON,K1N 5Y6,45.429883,-75.683066,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35061794,"35061794, ON",35060027,"35060027, ON",505,"Ottawa - Gatineau, ON/QC",5050053,"Ottawa - Gatineau (0053.00), ON",K1N,"K1N (Ottawa, ON)",Street,25
-75.679071,45.450763,Rockcliffe Park,RP,380 Springfield,Ottawa,ON,K1M 0L7,45.450763,-75.679071,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35060222,"35060222, ON",35060018,"35060018, ON",505,"Ottawa - Gatineau, ON/QC",5050110,"Ottawa - Gatineau (0110.00), ON",K1M,"K1M (Ottawa, ON)",Street,26
-75.72607,45.401629,Rosemount,RO,18 Rosemount,Ottawa,ON,K1Y 1P4,45.401629,-75.72607,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35075,"Ottawa Centre, ON",35060381,"35060381, ON",35060139,"35060139, ON",505,"Ottawa - Gatineau, ON/QC",5050043,"Ottawa - Gatineau (0043.00), ON",K1Y,"K1Y (Ottawa, ON)",Street,27
-75.760826,45.281535,Ruth E. Dickinson,RD,100 Malvern,Ottawa,ON,K2J 2G5,45.281535,-75.760826,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35064,"Nepean, ON",35061159,"35061159, ON",35060114,"35060114, ON",505,"Ottawa - Gatineau, ON/QC",5050140.07,"Ottawa - Gatineau (0140.07), ON",K2J,"K2J (Ottawa, ON)",Street,28
-75.915466,45.254049,Stittsville,ST,1637 Stittsville Main,Ottawa,ON,K2S 1A9,45.254049,-75.915466,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35060696,"35060696, ON",35060119,"35060119, ON",505,"Ottawa - Gatineau, ON/QC",5050151.06,"Ottawa - Gatineau (0151.06), ON",K2S,"K2S (Ottawa, ON)",Street,29
-75.64759,45.43566,Saint Laurent,SL,515 Côté,Ottawa,ON,K1K 0Z8,45.43566,-75.64759,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35060186,"35060186, ON",35060130,"35060130, ON",505,"Ottawa - Gatineau, ON/QC",5050061,"Ottawa - Gatineau (0061.00), ON",K1K,"K1K (Ottawa, ON)",Unique ePCCF,30
-75.68399,45.395341,Sunnyside,SU,1049 Bank,Ottawa,ON,K1S 3W9,45.395341,-75.68399,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35075,"Ottawa Centre, ON",35061627,"35061627, ON",35060043,"35060043, ON",505,"Ottawa - Gatineau, ON/QC",5050016,"Ottawa - Gatineau (0016.00), ON",K1S,"K1S (Ottawa, ON)",Street,31
-75.66206,45.44228,Vanier,VA,310 Pères Blancs,Ottawa,ON,K1L 7L5,45.44228,-75.66206,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35078,"Ottawa--Vanier, ON",35060210,"35060210, ON",35060131,"35060131, ON",505,"Ottawa - Gatineau, ON/QC",5050103,"Ottawa - Gatineau (0103.00), ON",K1L,"K1L (Ottawa, ON)",Unique ePCCF,32
-75.46409,45.16375,Vernon,VE,8682 Bank,Ottawa,ON,K0A 3J0,45.16375,-75.46409,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35088,"Carleton, ON",35061462,"35061462, ON",35060123,"35060123, ON",505,"Ottawa - Gatineau, ON/QC",5050190.01,"Ottawa - Gatineau (0190.01), ON",K0A,"K0A (Almonte, ON)",Unique ePCCF,33
-75.673019,45.35074,Kiosk / Lockers,KIOSK,3320 Paul Anka Dr.,Ottawa,ON,K1V 0J9,45.35074,-75.673019,1,Canada,35,Ontario,3506,"Ottawa, ON (CDR)",3506008,"Ottawa, ON (CV)",35077,"Ottawa South, ON",35061249,"35061249, ON",35060062,"35060062, ON",505,"Ottawa - Gatineau, ON/QC",5050002.05,"Ottawa - Gatineau (0002.05), ON",K1V,"K1V (Ottawa, ON)",Street,34
